,text,annotations,language,created_at,month,day,source
0,【#英国禁止两家公司口罩广告#：违反政府“不推荐使用口罩”的建议，可能引发恐慌】#周刊君与你共同战疫# 英国广告标准局(ASA)禁止了两家公司的口罩广告。广告称用口罩可以防止新冠病毒的传播。英国广告标准局称这些广告违背了“不推荐使用口罩作为预防新冠病毒的措施”的官方建议，“可能会引起恐慌” ...全文,inform,cn,2小时前,3,4,weibo
1,【#俄罗斯禁止口罩等医疗物资出口#】当地时间4日，俄罗斯政府在其官网上发布公告，即日起至2020年6月1日，俄罗斯将禁止部分医疗物资的出口，包括口罩、绷带、一次性医用手套、一次性医疗防护服、医用防护镜、呼吸机、消毒液和外科手术服等，但用于国际人道主义援助以及供个人使用的一次性医疗用品除外 ...全文,inform,cn,4小时前,3,3,weibo
2,#北京抗疫在行动# 在北京站打车，的哥让他坐后面，他非要坐前面，双方吵了起来，小伙子满口粗话疯狂骂人，骂到激动处还把口罩摘了！#北京爆料#北京 北京人北京事儿的微博视频 ,inform,cn,刚刚,3,4,weibo
3,【#法国政府征用全国口罩#】据人民日报记者葛文博，3月4日，法国政府发布政令，要求在5月31日前，征用所有公共法人与私人所持有和生产的FFP2型（相当于国内N95型）呼吸防护面罩及医用一次性口罩。3月3日，马克龙即已通过社交网络发布消息称“我们将征用所有生产和库存的防护口罩，并将它们分发给医护 ...全文,inform,cn,刚刚,3,4,weibo
4,真的是一个很气愤的事情作为一个还是算一线人员的药房工作者，在疫情期间一直在岗位，虽然没有医生护士那些的伟大，但是最起码的人身利益和安全还是应该有的，从开始的爆发期到现在为止口罩买不到 ，公司为员工配的口罩只有两个医用外科口罩其余的都是防尘口罩，还是一个多星期就发10个。虽然我们这个 ...全文,personal opinion,cn,刚刚,3,4,weibo
5,早上出门前去办了出入证，今天的物业人员比昨晚的给力多了，效率很高嘻嘻戴了牙套后真的很费刷头，刚换的刷头用了不到三次就炸毛，小伙子脾气比我还暴躁嘛本以为本懒猪过年会胖很多，但看上去还行，毕竟我过年期间胡吃海塞，来者不拒今日份运动，戴口罩跑步的感觉真滴难受 ...全文,personal opinion,cn,刚刚,3,4,weibo
6,最近一个多月发生的事让我觉得发下自己的生活动态都带着一种负罪感…  不过今晚和朋友们在科室过的这晚真是我最轻松快乐的时刻了（都是在一起工作了一个多月的同事）过完今天就23啦，最大的心愿是，大家能早日摘掉口罩在太阳下无所顾忌的出行吧 ,personal opinion,cn,刚刚,3,4,weibo
7,【“不装了，我是骗子，摊牌了！”】近日，萝北县公安局刑警大队破获了1起涉疫情电信诈骗案件。嫌疑人在网络上卖口罩，诈骗4人，诈骗金额达48万。嫌疑人实施诈骗后，看见宣传标语迫于压力，携款自首。龙警微博的微博视频 ,inform,cn,刚刚,3,4,weibo
8,#萌娃养成记##生活的模样# 永远记住帮你寄口罩的人！😂好吧，寄口罩的是我老公。想了办法寄了60个口罩。现在他在我的心目中的地位直接上升。买到口罩比买包包还开心.....这啥情况？ 丹麦·哥本哈根 ,personal opinion,cn,刚刚,3,4,weibo
9,#广西警事# #柳州警事# #百城行动战疫情#【柳州威腾科技有限公司向雀儿山派出所捐赠1000只自产口罩】       3月2日上午，柳州威腾科技有限公司向雀儿山派出所捐赠1000只口罩，向坚守在疫情防控一线的民警、辅警们致以崇高的敬意。       当日上午，柳州威腾科技有限公司负责人梁威腾来到雀儿山派出所 ...全文,inform,cn,刚刚,3,4,weibo
10,#李汶翰粉丝复工攻略##李汶翰正能量偶像# 一起加入到野生动物保护的口罩行动中来吧！敬畏自然，敬畏生命，在接受地球的馈赠之时，也要爱护和尊重地球上的一切。UNINE_李汶翰的微博视频 ,inform,cn,刚刚,3,4,weibo
11,#网约车司机手绘漫画防控指南#出门前戴好口罩瑟瑟发抖，上车后安全感满满，为自我消毒、安装防护膜的司机比心。疫情过后撸串火锅约起，武汉加油！ 百花香帅的微博视频 ,personal opinion,cn,13分钟前,3,4,weibo
12,#乐事品牌代言人李现# lx#李现教你如何节约口罩# 学校的樱花快开了，一切都快好起来了吧。对你的喜欢放心里，当我放弃的时候想到你，我就充满了动力。字丑丑的，所以最近有在练字，我都没能找到你的字体，如果有你的字体，我一定要下载@李现ing ,personal opinion,cn,刚刚,3,4,weibo
13,突然想起我同事前几天口罩带断了 还好管发口罩的大叔在单位 她又跑去要了个 不然她回家应该上不了公交车被人唾骂吧 还有更前一段时间有个群众要来口罩 走进来看见他没戴口罩 我同事立即问他为啥不戴口罩 他说刚才打了个喷嚏口罩坏了 不是想说口罩多么劣质 只是觉得有些时候很多东西真的不能一刀切 每个 ...全文,personal opinion,cn,刚刚,3,4,weibo
14,【医护人员迎来“新战友”，定点医院里的高科技抗“疫”】 “特殊时期，大家一定要戴好口罩，勤洗手，注意个人卫生，众志成城、渡过难关。”3月3日晚，武汉市肺科医院呼吸科5病区，一个萌萌的声音回荡在病房四周，这里的医护人员，迎来了一名不怕病毒，不用穿防护服的“新战友”——物流机器人。这是物 ...全文,inform,cn,1分钟前,3,4,weibo
15,"大广赛超话#2020中国大学生好创意,为中国加油!武汉加油!# @全国大广赛组委会 作品：《战“疫”航线》作者：徐艺唯学校：浙江师范大学指导老师：林友桂设计说明：本视频以飞行棋游戏为载体，把传统骰子进行了改造，骰到“戴口罩”“勤洗手”等正确战疫措施，棋子即可前进。骰到“聚众”“出门 ...全文",inform,cn,1分钟前,3,4,weibo
16,#防骗微视频# 【疫情期间防骗指南说唱版】新冠肺炎期间八天诈骗百万为何屡屡得逞？疫情防控期间，口罩成为生活必备品，需求量暴增。于是有些人动起歪脑筋，设置口罩骗局趁机发财。今天，检察官就带您层层揭开骗子的真实面具。点击下方视频，防骗指南学起来！最高人民检察院的微博视频 ,marketing,cn,1分钟前,3,4,weibo
17,#抗击疫情高校在行动#【清华华裔#研究生用奖学金买1万只口罩送家乡#】3月3日，见老家防疫物资紧缺，@清华大学 华裔研究生李元明拿出奖学金购买1万只口罩，还捐出5万元现金，支持家乡抗疫。他说，父亲经常告诉自己，树高千丈不忘根，做人不能忘记自己的根在哪里，想为家乡出份力。一手video的秒拍视频 ,inform,cn,1分钟前,3,4,weibo
18,#2020中国大学生好创意，为中国加油！武汉加油！#@全国大广赛组委会 姓名：李彬飞作品名称：信念，力量，光学校：杭州师范大学作品简介：疫情面前我们都是普通人，我们在家自我隔离戴好口罩保护好自己，而医护人员只不过是人群中勇敢穿上防护服冲在前线的那一个，是他们的牺牲自己才换来了我们的片 ...全文,inform,cn,1分钟前,3,4,weibo
19,"【#一只口罩的Vlog#】""我""是一只医用口罩，诞生在苏州工业园区，身体部位由白色无纺布、3毫米鼻线、熔喷布和浅蓝色无纺布组成，这台口罩本体机能造出我的雏形，紧接着，自动点焊机会为我安上双臂，出厂前，我还要经过严格检验消毒，再""穿上""包装出厂，感谢工人和志愿者们，让我可以尽快奔向抗疫一线。 ...全文",inform,cn,1分钟前,3,4,weibo
20,去做基础皮肤护理，店家直接送了一个口罩诶，这玩意儿太值钱了都不敢想 ,personal opinion,cn,9分钟前,3,4,weibo
21,#衡阳新型肺炎疫情播报# 省里通知：有序保障师生口罩供应，不得向学生收取任何费用。希望各级学校严格落实到位！这么说是不是意味着离开学也不久了？你期待早点开学吗？ 衡阳社的微博投票 ,crowdsourcing,cn,50分钟前,3,4,weibo
22,【“恭喜出舱”！#医护抗疫表情包1.0版上线#】叮！请注意！第一版医护抗疫表情包在武汉江汉开发区方舱医院正式推出啦！“真棒”“奥利给”“戴口罩”……武汉江汉开发区方舱医院专属版权，抗疫医护表情包1.0版静图、动图表情包，让沟通充满正能量！网页链接 ,marketing,cn,2分钟前,3,4,weibo
